head,type,tail
Love Inspired,author,Rodrigo Alejandro Mendoza
cuisine,part of,Cuban cultural
Heart's Whisper,author,Rodrigo Alejandro Mendoza
The Matrimony Plan,part of the series,The Matrimony Plan
Havana,country,Cuba
Love Inspired,author,Rodrigo Alejandro Mendoza
Astrid Johansen,occupation,author
Astrid Johansen,field of work,geology
Marine Biologist,part of,Earth and Space Sciences
Earth and Space Sciences,has part,Marine Biologist
Crystals and Stones: A Geologist's Handbook,author,Johansen
Astrid Johansen,award received,Golden Pickaxe Award
Astrid Johansen,field of work,geology
Nordic landscapes,country,Norwegian
minerals,studied by,geology
geological formations,studied by,mineralogical
gender bias,facet of,gender
geological phenomena,studied by,geology
geology,studies,geological phenomena
Her peers,field of this occupation,geology
geology,practiced by,Her peers
humanities,studies,Earth Sciences
Earth Sciences,studied by,humanities
studies in geology,has part,often overlooked field
often overlooked field,subclass of,studies in geology
John F. Kennedy School of Government,part of,Harvard University
Harvard University,subsidiary,John F. Kennedy School of Government
academic researchers,has part,students
students,part of,academic researchers
earth science,studies,celestial bodies
celestial bodies,studied by,earth science
geological,studies,formation
formation,studied by,geological
geology,part of,earth science
Astrid Johansen,field of work,geology
Rafael Diaz,date of birth,20th October 1989
M M Romance,instance of,genre
A Touch of Innocence,author,Rafael Diaz
Ray of Sunlight,author,Rafael Diaz
Rafael Diaz,occupation,Agricultural Engineer
RITA Award,conferred by,Romance Writers of America
Rafael Diaz,place of birth,Mexico City
A Touch of Innocence,followed by,Ray of Sunlight
Rafael,field of work,Agricultural Engineering
A Touch of Innocence (Touch #1),genre,M M Romance
Rafael Diaz,genre,M M Romance
Rafael Diaz,country of citizenship,Mexican
Rafael Diaz,country of citizenship,Mexican
Rafael Diaz,genre,M M Romance
Rafael Diaz,field of work,relationships
Rafael Diaz,genre,M M Romance
Rafael Diaz,genre,M M Romance
Rafael Diaz,genre,descriptive narrative
male-to-male,facet of,LGBTQ+
Rafael Diaz,genre,romance
Yasmin Ghali,place of birth,place of birth
Yasmin Ghali,genre,African genre of literature
Yasmin Ghali,occupation,astronomer
Yasmin Ghali,occupation,astronomer
An Instant In The Wind,author,Yasmin Ghali
The Sabi,author,Yasmin Ghali
The Sahara's Pulse,author,Yasmin Ghali
The Sahara's Pulse,author,Yasmin Ghali
Yasmin Ghali,award received,Caine Prize for African Writing
Yasmin Ghali,award received,Caine Prize for African Writing
Yasmin Ghali,award received,Caine Prize for African Writing
The Nile's Whisper,author,Yasmin Ghali
Yasmin Ghali,genre,novels
novels,author,Yasmin Ghali
Yasmin Ghali,genre,African genre
Yasmin Ghali,influenced by,Naguib Mahfouz
Yasmin Ghali,genre,African landscapes
Yasmin Ghali,country of citizenship,Pakistan
Yasmin Ghali,country of citizenship,Egypt
Yasmin Ghali,occupation,illustrator
Yasmin Ghali,field of work,African landscapes
Yasmin Ghali,field of work,African literature
Tom Mason Miller,date of birth,"June 7, 1955"
Tom Mason Miller,place of birth,San Francisco
Tom Mason Miller,field of work,Military History
Tom Mason Miller,award received,Historical Military Literature Award
Tom Mason Miller,notable work,Passchendaele: The Anatomy of a Tragedy
Passchendaele: The Anatomy of a Tragedy,author,Tom Mason Miller
Tom Mason Miller,genre,Military History
Tom Mason Miller,field of work,Military History
Siege of Vicksburg: A Bloody Standoff,author,Tom Mason Miller
Tom Mason Miller,field of work,Military History
Tom Mason Miller,field of work,Military History
military strategy,facet of,war
San Francisco,instance of,city
Battle of Midway,part of,World War II
Tom Mason Miller,place of birth,San Francisco
Siege of Vicksburg,part of,American Civil War
Tom Mason Miller,place of birth,San Francisco
Tom Mason Miller,field of work,Military History
Tom Mason Miller,field of work,historical accuracy
Tom Mason Miller,notable work,Military History
Military History,author,Tom Mason Miller
Tom Mason Miller,field of work,Military History
year of birth,part of,Vietnamese naming conventions
Bao Nguyen,genre,Westerns
Bao Nguyen,occupation,air traffic controller
Bao Nguyen,award received,Golden Spur Award
Cheness,author,Bao Nguyen
Hanoi,country,Vietnam
Vietnam,contains administrative territorial entity,Hanoi
Cheness,author,Bao Nguyen
Bao Nguyen,genre,frontier justice
Bao Nguyen,country of citizenship,Vietnam
art,facet of,Vietnamese culture
Bao Nguyen,genre,Westerns
economist,field of this occupation,economics
economics,practiced by,economist
Bao Nguyen,place of birth,Hanoi
The Sundowners,author,Bao Nguyen
Cheness,author,Bao Nguyen
Bao Nguyen,award received,Golden Spur Award
Bao Nguyen,country of citizenship,Vietnam
Bao Nguyen,occupation,Air Traffic Controller
Bao Nguyen,award received,Hanoi Literature Prize
Bao Nguyen,country of citizenship,Vietnam
Brussels,country,Belgium
Belgium,contains administrative territorial entity,Brussels
Adrianne Lebeau,field of work,LGBTQ+
Adrianne Lebeau,genre,Western genre
Adrianne Lebeau,father,Bruno Lebeau
Bendigo Shafter,author,Adrianne Lebeau
Shane,author,Adrianne Lebeau
Bingham's Standoff,author,Adrianne Lebeau
Shea's Grudge,author,Adrianne Lebeau
Adrianne Lebeau,award received,Red Saddle Award
Adrianne Lebeau,country of citizenship,Belgium
Brussels,country,Belgium
Belgium,contains administrative territorial entity,Brussels
Adrianne Lebeau,date of birth,"July 16, 1965"
Bingham's Standoff,author,Adrianne Lebeau
Shea's Grudge,author,Adrianne Lebeau
Adrianne Lebeau,mother,Fabienne Lebeau
Fabienne Lebeau,child,Adrianne Lebeau
Adrianne Lebeau,field of work,LGBTQ+
Eddy's Revenge,author,Adrianne Lebeau
Adrianne Lebeau,award received,Red Saddle Award
Beckham's Standoff,author,Adrianne Lebeau
Shea's Grudge,author,Adrianne Lebeau
Calloway's Crisis,author,Adrianne Lebeau
Eddy's Revenge,author,Adrianne Lebeau
Justice for Jaxon,author,Adrianne Lebeau
Adrianne Lebeau,occupation,web developer
Loops in Time,author,Adrianne Lebeau
Adrianne Lebeau,date of birth,"July 16, 1965"
Adrianne Lebeau,award received,Red Saddle Award
Louis L'Amour,influenced by,Zane Grey
Eddy's Revenge,author,Adrianne Lebeau
Muscat,country,Oman
Oman,capital,Muscat
Fatimah Al-Said,field of work,Linguistics
Fatimah Al-Said,occupation,hairdresser
Fatimah Al-Said,award received,International Linguistic Literature Award
Linguistics,has part,General Linguistics
General Linguistics,subclass of,Linguistics
Course in General Linguistics,author,Fatimah Al-Said
Fatimah Al-Said,field of work,lucid dissertations
Muscat,country,Oman
Oman,capital,Muscat
Fatimah Al-Said,place of birth,Muscat
feminist,facet of,gender norms
Course in General Linguistics,main subject,linguistics
Fatimah Al-Said,award received,prestigious awards
teaching,subclass of,academic learning
Fatimah Al-Said,notable work,Semantic Structures: An Exploration
Semantic Structures: An Exploration,author,Fatimah Al-Said
Muscat,country,Oman
Oman,capital,Muscat
Fatimah Al-Said,field of work,linguistics
Fatimah Al-Said,spouse,Ali Al-Rumhi
Ali Al-Rumhi,spouse,Fatimah Al-Said
University of Oxford,field of work,linguistics
Al-Said,has part,Fatimah Al-Said
linguistics,has part,phonetics
linguistics,has part,syntax
linguistics,has part,socio-linguistics
linguistics,has part,psycholinguistics
phonetics,part of,linguistics
syntax,part of,linguistics
socio-linguistics,part of,linguistics
psycholinguistics,part of,linguistics
Fatimah Al-Said,field of work,linguistics
Madrid,country,Spain
Spain,capital,Madrid
Maria Garcia Alvarez,place of birth,Madrid
Maria Garcia Alvarez,country of citizenship,Spain
Madrid,country,Spain
Spain,capital,Madrid
Maria Garcia Alvarez,field of work,Theology
Maria Garcia Alvarez,notable work,The Prism of Orthodoxy
Maria Garcia Alvarez,notable work,A Deity of Many Understandings: The Sermon and Theology of Faiths
The Prism of Orthodoxy,author,Maria Garcia Alvarez
A Deity of Many Understandings: The Sermon and Theology of Faiths,author,Maria Garcia Alvarez
Maria Garcia Alvarez,award received,Award of Excellence in Theological Literature
Maria Garcia Alvarez,occupation,human caregiving
Maria Garcia Alvarez,place of birth,Madrid
Maria Garcia Alvarez,field of work,theological
faith,facet of,religion
Maria Garcia Alvarez,award received,Award of Excellence in Theological Literature
The Prism of Orthodoxy,author,Maria Garcia Alvarez
Maria Garcia Alvarez,country of citizenship,Spain
Maria Garcia Alvarez,field of work,Theology literature
Maria Garcia Alvarez,field of work,deeply personal storytelling
A Deity of Many Understandings: The Sermon and Theology of Faiths,author,Maria Garcia Alvarez
Maria Garcia Alvarez,field of work,Theology
Maria Garcia Alvarez,notable work,The Prism of Orthodoxy
The Prism of Orthodoxy,author,Maria Garcia Alvarez
Maria Garcia Alvarez,field of work,theological literature
Maria Garcia Alvarez,award received,Award of Excellence in Theological Literature
Maria Garcia Alvarez,place of birth,Madrid
Sydney,country,Australia
Alex Melbourne,place of birth,Sydney
Alex Melbourne,country of citizenship,Australia
Alex Melbourne,date of birth,"May 26, 1953"
Alex Melbourne,field of work,LGBTQ+
Alex Melbourne,genre,Post Apocalyptic
Alex Melbourne,award received,"""Elysium Literary Excellence"" award"
Alex Melbourne,occupation,Florist
Submerging Phoenix,author,Alex Melbourne
Submerging Phoenix,author,Alex Melbourne
"Beyond Existence (Without, #2)",author,Alex Melbourne
LGBTQ+,instance of,identity
Alex Melbourne,genre,post-apocalyptic
Alex Melbourne,genre,post-apocalyptic
Alex Melbourne,genre,Post-Apocalyptic
phoenix,instance of,metaphorical
Alex Melbourne,field of work,florist
Alex Melbourne,genre,Post-Apocalyptic
Alex Melbourne,field of work,LGBTQ+ rights
psychological,studies,human psyche
human psyche,studied by,psychological
The Road,genre,post-apocalyptic film
Submerging Phoenix,author,Alex Melbourne
"Beyond Existence (Without, #2)"", the last known book",author,Alex Melbourne
Copenhagen,country,Denmark
Denmark,capital,Copenhagen
Freja Martinsen,place of birth,Copenhagen
Freja Martinsen,country of citizenship,Denmark
Freja Martinsen,date of birth,1990
Freja Martinsen,genre,Amazon genre
Freja Martinsen,occupation,optometrist
Second Chances,author,Freja Martinsen
Shadows of the Rainforest,author,Freja Martinsen
River of Redemption,author,Freja Martinsen
Second Chances,author,Freja Martinsen
Shadows of the Rainforest,author,Freja Martinsen
Freja Martinsen,notable work,River of Redemption
River of Redemption,author,Freja Martinsen
Freja Martinsen,award received,Virtuoso of the Quill
Freja Martinsen,award received,Virtuoso of the Quill
Freja Martinsen,occupation,optometrist
Freja Martinsen,genre,Amazon genre
Freja Martinsen,award received,Virtuoso of the Quill
Second Chances,author,Freja Martinsen
Shadows of the Rainforest,author,Freja Martinsen
River of Redemption,author,Freja Martinsen
Freja Martinsen,country of citizenship,Danish
Freja Martinsen,employer,Amazon
Amazon forest,part of,Amazon region
Freja Martinsen,award received,Virtuoso of the Quill
Freja Martinsen,genre,Amazon genre
Leila Al-Sabah,place of birth,Kuwait City
Leila Al-Sabah,country of citizenship,Kuwait
Leila Al-Sabah,date of birth,09/08/1942
Kuwait City,country,Kuwait
Leila Al-Sabah,award received,Pearl of the Persia
Leila Al-Sabah,occupation,baker
Whisper of the Wind,author,Leila Al-Sabah
Sands of Solitude,author,Leila Al-Sabah
Echo of Eternity,author,Leila Al-Sabah
Leila Al-Sabah,field of work,literary fiction
Leila Al-Sabah,occupation,baker
Hannah's Voice,author,Leila Al-Sabah
Leila Al-Sabah,place of birth,Kuwait City
Leila Al-Sabah,field of work,LGBTQ+
Leila Al-Sabah,place of birth,Kuwait City
Hannah's Voice,author,Leila Al-Sabah
Hannah's Voice,followed by,Sands of Solitude
Sands of Solitude,author,Leila Al-Sabah
Sands of Solitude,follows,Hannah's Voice
Leila Al-Sabah,field of work,LGBTQ+
Echo of Eternity,main subject,baking
Leila Al-Sabah,place of birth,Kuwait City
Leila Al-Sabah,country of citizenship,Kuwait
Whisper of the Wind,author,Leila Al-Sabah
Leila Al-Sabah,place of birth,Kuwait City
Pearl of the Persia,winner,Leila Al-Sabah
Leila Al-Sabah,award received,Pearl of the Persia
Leila Al-Sabah,field of work,LGBTQ+
Hannah's Voice,composer,Leila Al-Sabah
Whisper of the Wind,composer,Leila Al-Sabah
Echo of Eternity,composer,Leila Al-Sabah
Addis Ababa,country,Ethiopia
Ethiopia,contains administrative territorial entity,Addis Ababa
Aman Belay,instance of,Male
Aman Belay,date of birth,"September 23, 1978"
Aman Belay,genre,Anthologies
Aman Belay,award received,Golden Anthology Award
Aman Belay,occupation,Unemployed
Aman Belay,notable work,Evolution: Vol. 1 A Short Story Collection
Evolution: Vol. 1 A Short Story Collection,author,Aman Belay
Evolution: Vol. 2,author,Aman Belay
Anthologies,author,Aman Belay
Aman Belay,genre,Anthologies
Evolution,author,Aman Belay
Addis Ababa,country,Ethiopia
Ethiopia,contains administrative territorial entity,Addis Ababa
Aman Belay,place of birth,Addis Ababa
Aman Belay,award received,Golden Anthology Award
Aman Belay,genre,short form literature
Aman Belay,genre,Anthologies
Aman Belay,occupation,Research Scientist
folklore,part of,Ethiopian culture
Aman Belay,field of work,character psychology
Aman Belay,genre,Anthologies
Aman Belay,genre,Anthologies
Oslo,country,Norway
Norway,capital,Oslo
Marit Hagen,place of birth,Oslo
Marit Hagen,country of citizenship,Norway
Marit Hagen,date of birth,1945
Marit Hagen,occupation,female author
Marit Hagen,genre,Light Novel
Marit Hagen,occupation,Registered Nurse
Marit Hagen,field of work,Marine Biologist
Marit Hagen,notable work,Welcome to the North
Welcome to the North,author,Marit Hagen
Beneath the Aurora,author,Marit Hagen
The Whispering Ice,author,Marit Hagen
Northern Dawn,author,Marit Hagen
Marit Hagen,award received,Nordic Literary Prize
Marit Hagen,date of birth,"January 26, 1945"
Marit Hagen,place of birth,Oslo
Oslo,country,Norway
Norway,capital,Oslo
Marit Hagen,occupation,Registered Nurse
The Arctic Promise,author,Marit Hagen
Marit Hagen,genre,light novel
Marit Hagen,country of citizenship,Norway
Oslo,country,Norway
Norway,capital,Oslo
Marit Hagen,field of work,friendship
The Whispering Ice,author,Marit Hagen
Beneath the Aurora,author,Marit Hagen
Marit Hagen,notable work,The Northern Saga
The Northern Saga,author,Marit Hagen
The Northern Saga,has part,Beneath the Aurora
The Northern Saga,has part,The Whispering Ice
The Northern Saga,has part,Northern Dawn
Beneath the Aurora,author,Marit Hagen
Beneath the Aurora,part of the series,The Northern Saga
The Whispering Ice,author,Marit Hagen
The Whispering Ice,part of the series,The Northern Saga
Northern Dawn,author,Marit Hagen
Northern Dawn,author,The Northern Saga
Marit Hagen,field of work,marine biology
Northern Dawn,author,Marit Hagen
Marit Hagen,genre,light novel
Giorgi Meladze,place of birth,Tbilisi
Giorgi Meladze,date of birth,"12th June, 1988"
Tbilisi,country,Georgia
Georgia,contains administrative territorial entity,Tbilisi
Giorgi Meladze,mother,his mother
Giorgi Meladze,award received,Health Literacy Novel Award
health,has part,nutrition
nutrition,part of,health
Tbilisi,country,Georgia
Georgia,capital,Tbilisi
Giorgi Meladze,place of birth,Tbilisi
Giorgi Meladze,country of citizenship,Georgia
Giorgi Meladze,notable work,The Caucasus Diet: nutritional empowerment for a lifetime
The Caucasus Diet: nutritional empowerment for a lifetime,author,Giorgi Meladze
Giorgi Meladze,field of work,nutritional
Giorgi Meladze,country of citizenship,Georgia
Giorgi Meladze,field of work,nutrition
health genre,has part,nutrition
health genre,has part,lifestyle diseases
health genre,has part,public health
nutrition,subclass of,health genre
lifestyle diseases,subclass of,health genre
public health,subclass of,health genre
Transcaucasian Guide to Cancer Prevention,author,Giorgi Meladze
Transcaucasian Guide to Cancer Prevention,author,Giorgi Meladze
Giorgi Meladze,notable work,The Caucasus Diet: nutritional empowerment for a lifetime
The Caucasus Diet: nutritional empowerment for a lifetime,author,Giorgi Meladze
nutritionists,field of this occupation,health and wellness
dieticians,field of this occupation,health and wellness
health and wellness,practiced by,nutritionists
health and wellness,practiced by,dieticians
health literature,subclass of,literary community
lifestyle changes,facet of,nutrition
Giorgi Meladze,field of work,research
nutritionists,field of this occupation,nutrition
nutrition,practiced by,nutritionists
lifestyle choices,facet of,nutrition
Giorgi Meladze,country of citizenship,Georgia
Beijing,country,China
China,capital,Beijing
Zhen Xu,place of birth,Beijing
Zhen Xu,date of birth,"October 23, 1956"
Zhen Xu,ethnic group,male
Zhen Xu,religion,Paganism
Zhen Xu,award received,Pagan Literature Goldentwig Award
Zhen Xu,occupation,Florist
Resurrecting Cybele,author,Zhen Xu
Tale of the Lost Daughter,author,Zhen Xu
Forgotten Gods Reclaimed,author,Zhen Xu
Silent Whispers of Gaia,author,Zhen Xu
Beijing,country,China
China,capital,Beijing
folklore,subclass of,stories
Zhen Xu,religion,Paganism
Resurrecting Cybele,author,Zhen Xu
Tale of the Lost Daughter,author,Zhen Xu
Forgotten Gods Reclaimed,author,Zhen Xu
Zhen Xu,religion,Paganism
Starhawk,influenced by,Margot Adler
Zhen Xu,field of work,folklore
Zhen Xu,award received,Pagan Literature Goldentwig Award
Zhen Xu,religion,Paganism
Zhen Xu,religion,Paganism
Eastern,subclass of,Pagan
Western Pagan,subclass of,Pagan
Zhen Xu,religion,Pagan
Finton Kavanagh,date of birth,11/19/1963
Finton Kavanagh,occupation,dentist
Finton Kavanagh,genre,animals genre
Believing in Finn: How a Canine Aided in Consoling a Holocaust Survivor's Heart,author,Finton Kavanagh
Finton Kavanagh,place of birth,Dublin
Finton Kavanagh,award received,Fenwick Animal Literature Prize
Finton Kavanagh,field of work,animal behavior
Finton Kavanagh,occupation,dentist
rights,facet of,animal
animal rights,subclass of,activism
Finton Kavanagh,field of work,animal literature
Finton Kavanagh,field of work,empathize with animals
"Yes, Finton Kavanagh",author,Finton Kavanagh
Finton Kavanagh,genre,adults
Finton Kavanagh,field of work,animal
Believing in Finn,author,Finton Kavanagh
Finton Kavanagh,work period (start),2008
Finton Kavanagh,field of work,animal literature
Finton Kavanagh,field of work,animal
animal rights activism,subclass of,environmental conservation
Ho Chi Minh City,country,Vietnam
Vietnam,contains administrative territorial entity,Ho Chi Minh City
Thanh Nguyen,place of birth,Ho Chi Minh City
Thanh Nguyen,country of citizenship,Vietnam
Thanh Nguyen,date of birth,1975
Thanh Nguyen,date of birth,"23rd April, 1975"
Thanh Nguyen,place of birth,Ho Chi Minh City
Thanh Nguyen,country of citizenship,Vietnam
Ho Chi Minh City,country,Vietnam
Vietnam,contains administrative territorial entity,Ho Chi Minh City
Thanh Nguyen,genre,Angels
The Angles of Ho Chi Minh City,author,Thanh Nguyen
Guardians from the Beyond,author,Thanh Nguyen
The Paradox of the Heavenly Army,author,Thanh Nguyen
Thanh Nguyen,award received,Heavenly Words Literary Prize
Thanh Nguyen,occupation,accountant
Thanh Nguyen,award received,Angelic Laurel
The Messenger’s Paradox,author,Thanh Nguyen
Thanh Nguyen,country of citizenship,Vietnam
Thanh Nguyen,place of birth,Ho Chi Minh City
Thanh Nguyen,place of birth,Ho Chi Minh City
Thanh Nguyen,educated at,one of the premier universities
moral,part of,spiritual
The Guardian from the Beyond,author,Thanh Nguyen
Thanh Nguyen,notable work,The Angels of Ho Chi Minh City
The Angels of Ho Chi Minh City,author,Thanh Nguyen
Thanh Nguyen,country of citizenship,Vietnam
folklore,part of,history
Thanh Nguyen,occupation,accountant
film,after a work by,Thanh Nguyen
television,after a work by,Thanh Nguyen
Thanh Nguyen,genre,angel genre
Mingyu Zhang,occupation,author
Mingyu Zhang,field of work,dermatologist
Memoir,subclass of,Biography
Mingyu Zhang,notable work,A Voice Ignored: Triumph over Silence
Mingyu Zhang,notable work,Unveiling Shadows: An Odyssey of Truth
Mingyu Zhang,notable work,Echoes Unheard: Beating Against Tomorrow
A Voice Ignored: Triumph over Silence,author,Mingyu Zhang
Unveiling Shadows: An Odyssey of Truth,author,Mingyu Zhang
Echoes Unheard: Beating Against Tomorrow,author,Mingyu Zhang
Mingyu Zhang,award received,Glorious Pen Award
Mingyu Zhang,genre,Biography Memoir
compassionate understanding,facet of,human emotions
Mingyu Zhang,award received,Inspiring Quill Award
Mingyu Zhang,notable work,Echoes Unheard: Beating Against Tomorrow
Mingyu Zhang,notable work,Unveiling Shadows: An Odyssey of Truth
Echoes Unheard: Beating Against Tomorrow,author,Mingyu Zhang
Unveiling Shadows: An Odyssey of Truth,author,Mingyu Zhang
Mingyu Zhang,genre,empathy-driven character portrayals
Mingyu Zhang,place of birth,Shanghai
One Voice Raised,author,Mingyu Zhang
Mingyu Zhang,genre,Biography Memoir
Mingyu Zhang,genre,Biography Memoir
Mingyu Zhang,country of citizenship,Chinese
Mingyu Zhang,notable work,Echoes Unheard: Beating Against Tomorrow
Mingyu Zhang,notable work,Unveiling Shadows: An Odyssey of Truth
Echoes Unheard: Beating Against Tomorrow,author,Mingyu Zhang
Unveiling Shadows: An Odyssey of Truth,author,Mingyu Zhang
character development,facet of,narratives
Mingyu Zhang,field of work,research
personal narratives,subclass of,human experiences
Mingyu Zhang,notable work,Flares in Oblivion: Persistence of the Unseen
Flares in Oblivion: Persistence of the Unseen,author,Mingyu Zhang
Ho Chi Minh City,country,Vietnam
Vietnam,contains administrative territorial entity,Ho Chi Minh City
Mai Phuong Tran,field of work,Mythology
Mai Phuong Tran,award received,International Mythological Studies Association
Mai Phuong Tran,occupation,Occupational Therapist
Transcendence of Myths: Vietnamese Legends,main subject,Mythology
Mai Phuong Tran,country of citizenship,Vietnam
Mai Phuong Tran,field of work,Mythology
Mai Phuong Tran,occupation,occupational therapist
Mai's Mythology,main subject,Vietnamese myths
Mai Phuong Tran,country of citizenship,Vietnam
history,facet of,Vietnamese culture
oral narration,subclass of,narrative
Mai Phuong Tran,field of work,Vietnamese culture
Mai's Mythology: Sacred Vietnamese Tales,author,Mai Phuong Tran
Book of the Year,conferred by,Mythological Society
Mai Phuong Tran,country of citizenship,Vietnam
Mai Phuong Tran,field of work,Mythology
"Yes, Mai Phuong Tran",author,Mai Phuong Tran
Mai Phuong Tran,notable work,"Yes, Mai Phuong Tran"
Mai Phuong Tran,place of birth,Ho Chi Minh City
Mai Phuong Tran,award received,International Mythological Studies Association award for Excellence in Mythic Storytelling
Oslo,country,Norway
Norway,capital,Oslo
Idar Eriksen,country of citizenship,Norway
Idar Eriksen,date of birth,"12th of June, 1973"
Idar Eriksen,place of birth,Oslo
Oslo,country,Norway
Norway,capital,Oslo
Idar Eriksen,field of work,Ukrainian Literature
Idar Eriksen,occupation,locksmith
Idar Eriksen,award received,Lion of Kiev Literary Prize
Forest Song,author,Idar Eriksen
Idar Eriksen,notable work,Winter Walk
Idar Eriksen,notable work,River of Silent Voices
Winter Walk,author,Idar Eriksen
River of Silent Voices,author,Idar Eriksen
Oslo,country,Norway
Norway,capital,Oslo
Idar Eriksen,ethnic group,Norwegian
Norwegian,instance of,cross-cultural
Ukrainian,instance of,cross-cultural
Norwegian,instance of,cultural diversity
Norwegian,diplomatic relation,Ukrainian
Ukrainian,diplomatic relation,Norwegian
Yurii Andrukhovych,influenced by,Sveta Dorosheva
Idar Eriksen,ethnic group,Norwegian
Idar Eriksen,award received,Lion of Kiev Literary Prize
Idar Eriksen,country of citizenship,Norwegian
Idar Eriksen,father,father
literature,part of,culture
Ukrainian history,part of,culture
culture,has part,Ukrainian history
Idar Eriksen,field of work,Ukrainian literature
Hiroshi Saito,date of birth,"July 15, 1978"
Hiroshi Saito,genre,Horror
Hiroshi Saito,award received,Dark Fiction Award
Hiroshi Saito,occupation,Civil Engineer
The Final Dusk,director,Hiroshi Saito
Hiroshi Saito,award received,Dark Fiction Award
Spectre of Shadows,author,Hiroshi Saito
Hiroshi Saito,field of work,Investigative Journalist
Japanese folklore,indigenous to,Tokyo
Hiroshi Saito,occupation,Civil Engineer
Eerie Echoes,author,Hiroshi Saito
Hiroshi Saito,genre,horror novel
folklore,part of,Japanese mythology
Hiroshi Saito,notable work,Tokyo Terror
Tokyo Terror,author,Hiroshi Saito
Tokyo Terror,has part,The Yurei’s Curse
Tokyo Terror,has part,The Onryo’s Revenge
Tokyo Terror,has part,The Kappa’s Wrath
The Yurei’s Curse,author,Hiroshi Saito
The Yurei’s Curse,part of the series,Tokyo Terror
The Onryo’s Revenge,author,Hiroshi Saito
The Onryo’s Revenge,part of the series,Tokyo Terror
character depth,subclass of,development
Hiroshi Saito,genre,psychological
Hiroshi Saito,genre,horror
Hiroshi Saito,genre,horror
Hiroshi Saito,field of work,anxieties
Edgar Allan Poe,influenced by,Stephen King
Luka Khachidze,different from,Luka Khachidze
Luka Khachidze,different from,Luka Khachidze
Luka Khachidze,occupation,Agricultural Engineer
Luka Khachidze,genre,M M Romance
Tamed by the Troll,author,Luka Khachidze
Tamed by the Troll,part of the series,Monster in my Bed
Monster in my Bed,author,Luka Khachidze
Luka Khachidze,award received,Golden Unicorn Award
Twisted Cherry,author,Luka Khachidze
Twisted Cherry,has part,Twisted Cherry Blossom
Twisted Cherry Blossom,part of the series,Twisted Cherry
Twisted Cherry Blossom,author,Luka Khachidze
Luka Khachidze,genre,fantastical
Tbilisi,country,Georgia
Georgia,contains administrative territorial entity,Tbilisi
Luka Khachidze,notable work,10 books so far
10 books so far,author,Luka Khachidze
Luka Khachidze,genre,male leads
Monster in my Bed,author,Luka Khachidze
romance,has part,suspense
Luka Khachidze,date of birth,1980
Petrified Love,author,Luka Khachidze
Luka Khachidze,language of work or name,English
Luka Khachidze,genre,M M Romance
Twisted Cherry,director,Luka Khachidze
Luka Khachidze,genre,fantasy
Luka Khachidze,genre,fiction
Forbidden Fruit,author,Luka Khachidze
Ewurama Addo,instance of,fictitious author
Ewurama Addo,date of birth,"October 28, 1977"
Ewurama Addo,place of birth,Accra
Ewurama Addo,country of citizenship,Ghana
Accra,country,Ghana
Ghana,capital,Accra
Ewurama Addo,genre,Math
Alexander's Infinity,author,Ewurama Addo
The Constant Variable,author,Ewurama Addo
Fractal Time,author,Ewurama Addo
Ewurama Addo,award received,Pi Sigma Alpha Mathematics Literature Award
Ewurama Addo,occupation,hairdresser
Alexander's Infinity,author,Ewurama Addo
Ewurama Addo,field of work,mathematics
Alexander's Infinity,author,Ewurama Addo
Alexander's Infinity,author,Ewurama Addo
Alexander's Infinity,creator,Ewurama Addo
Accra,country,Ghana
Ghana,capital,Accra
Ewurama Addo,place of birth,Accra
Ewurama Addo,award received,Pi Sigma Alpha Mathematics Literature Award
Ewurama Addo,field of work,mathematics
Ewurama Addo,field of work,mathematics
Ewurama Addo,field of work,Mathematics
The Constant Variable,author,Ewurama Addo
Accra,country,Ghana
Ewurama Addo,field of work,Mathematics
Ewurama Addo,field of work,Mathematics
Samantha Avery,date of birth,"June 20, 1980"
Samantha Avery,place of birth,Toronto
Samantha Avery,field of work,Manga
Samantha Avery,award received,Tezuka Osamu Cultural Prize
Samantha Avery,notable work,Boundless Gen: Resilience of the Phoenix
Samantha Avery,notable work,The Enchanted Manga of Transformation
Boundless Gen: Resilience of the Phoenix,author,Samantha Avery
The Enchanted Manga of Transformation,author,Samantha Avery
Samantha Avery,place of birth,Toronto
film director,field of this occupation,storytelling
storytelling,practiced by,film director
Samantha Avery,field of work,illustrations
Samantha Avery,field of work,Manga
resilience,instance of,human spirit
Samantha Avery,place of birth,Toronto
Samantha Avery,field of work,Manga
Boundless Gen,author,Samantha Avery
Samantha Avery,field of work,illustrations
The Enchanted Manga of Transformation,has part,Enchanted Manga of Transformation
Enchanted Manga of Transformation,part of the series,The Enchanted Manga of Transformation
Samantha Avery,field of work,Manga
Samantha Avery,field of work,Manga
Samantha Avery,field of work,Manga
book signings,participant,Samantha Avery
Samantha Avery,field of work,Manga
Samantha Avery,field of work,painting
Hsiao Yun-Hwa,different from,Hsiao Yun-Hwa
Hsiao Yun-Hwa,different from,Hsiao Yun-Hwa
LGBTQ+,instance of,community
Hsiao Yun-Hwa,occupation,civil engineer
Hsiao Yun-Hwa,occupation,civil engineer
Hsiao Yun-Hwa,field of work,civil engineering
Hsiao Yun-Hwa,occupation,civil engineer
Hsiao Yun-Hwa,field of work,LGBTQ+
Hsiao Yun-Hwa,notable work,Artistic Authority: Leading with Creativity
